RUNTIME - essentialCPs[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];169/;68/;89/;33/;19/;48/;20/;44/;30/;23/;66/;26/;21/;21/;91/;55/;22/;24/;400/;66/;28/;30/;21/;71/;56/;27/;53/;27/;52/;35/;25/;37/;91/;45/;23/;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];43/;21/;19/;19/;19/;18/;18/;19/;17/;20/;20/;19/;18/;18/;18/;17/;18/;18/;18/;51/;22/;17/;19/;18/;19/;21/;21/;20/;21/;20/;21/;21/;22/;21/;19/;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];258/;36/;373/;31/;27/;191/;23/;196/;28/;23/;358/;35/;26/;35/;182/;29/;27/;25/;1939/;105/;33/;38/;23/;134/;447/;37/;424/;43/;464/;208/;31/;223/;566/;490/;54/;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];78/;65/;57/;55/;32/;45/;46/;50/;29/;33/;51/;45/;51/;28/;37/;35/;50/;27/;44/;52/;50/;50/;36/;33/;52/;53/;65/;49/;74/;54/;54/;73/;75/;58/;74/;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];58/;27/;32/;29/;28/;27/;27/;29/;28/;29/;28/;28/;29/;27/;29/;28/;30/;32/;28/;29/;27/;28/;29/;29/;27/;27/;27/;30/;32/;28/;29/;30/;28/;28/;28/;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];68/;34/;59/;48/;36/;44/;34/;49/;36/;30/;65/;44/;36/;37/;45/;35/;45/;34/;34/;64/;49/;43/;36/;35/;46/;45/;48/;30/;53/;47/;46/;47/;42/;44/;55/;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];88/;38/;28/;36/;32/;34/;55/;36/;29/;26/;29/;27/;29/;27/;26/;30/;26/;26/;26/;26/;28/;34/;28/;27/;27/;39/;31/;38/;28/;26/;37/;28/;28/;28/;37/;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];55/;28/;40/;26/;26/;34/;27/;35/;28/;28/;48/;29/;27/;30/;66/;34/;31/;32/;227/;79/;31/;34/;36/;63/;52/;35/;57/;37/;58/;47/;38/;43/;50/;51/;38/;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];135/;36/;36/;37/;36/;35/;107/;35/;111/;33/;34/;33/;34/;33/;33/;34/;40/;33/;32/;91/;31/;32/;31/;35/;34/;38/;38/;42/;36/;31/;32/;32/;162/;35/;36/;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];55/;38/;33/;33/;30/;32/;34/;32/;32/;34/;40/;31/;31/;31/;34/;30/;30/;32/;31/;60/;35/;32/;30/;26/;26/;26/;28/;28/;28/;28/;42/;34/;28/;35/;35/;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];246/;46/;338/;76/;44/;209/;42/;236/;43/;34/;461/;44/;35/;37/;176/;39/;44/;42/;1905/;165/;32/;41/;28/;137/;467/;46/;454/;57/;541/;253/;44/;247/;373/;469/;51/;
deleteExcludeConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];82/;40/;34/;47/;31/;40/;31/;39/;46/;32/;32/;283/;55/;32/;31/;32/;33/;50/;32/;33/;34/;38/;33/;32/;31/;31/;33/;308/;61/;33/;39/;46/;45/;40/;48/;
deleteRequireConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];65/;60/;35/;44/;39/;35/;39/;38/;35/;35/;39/;38/;319/;69/;42/;40/;37/;35/;35/;35/;50/;42/;39/;49/;45/;40/;38/;37/;411/;64/;38/;40/;46/;43/;37/;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];75/;45/;35/;36/;36/;34/;34/;34/;53/;38/;39/;42/;45/;139/;57/;34/;111/;34/;32/;33/;42/;34/;32/;31/;32/;34/;33/;52/;34/;43/;33/;33/;49/;35/;33/;
setFeatureOptional[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];77/;36/;148/;129/;36/;37/;61/;62/;35/;37/;164/;48/;43/;59/;173/;54/;50/;40/;39/;43/;47/;45/;45/;53/;151/;40/;138/;44/;39/;140/;142/;138/;41/;37/;37/;
createAbstractFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];68/;66/;73/;35/;62/;38/;39/;42/;46/;33/;33/;44/;36/;38/;40/;37/;41/;42/;42/;70/;41/;37/;41/;38/;36/;39/;51/;43/;43/;42/;41/;47/;47/;43/;51/;
deleteAbstractFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];103/;48/;67/;57/;41/;78/;61/;62/;45/;69/;85/;62/;71/;62/;66/;49/;72/;42/;69/;53/;62/;58/;44/;58/;76/;57/;70/;60/;82/;57/;58/;70/;59/;61/;70/;
changeGroupFromORtoALT[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];77/;38/;40/;37/;36/;41/;76/;117/;48/;46/;40/;35/;34/;36/;35/;35/;33/;107/;41/;37/;38/;118/;45/;40/;42/;42/;38/;173/;50/;52/;142/;47/;249/;66/;150/;
createExcludeConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];82/;84/;87/;49/;52/;44/;39/;40/;39/;40/;48/;76/;40/;40/;38/;46/;38/;35/;1721/;292/;43/;52/;46/;60/;43/;49/;42/;63/;51/;42/;47/;42/;41/;61/;41/;
createRequireConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];82/;91/;97/;51/;75/;47/;53/;39/;44/;43/;53/;45/;46/;58/;55/;41/;46/;42/;45/;305/;63/;47/;47/;52/;48/;45/;58/;42/;42/;57/;37/;39/;46/;39/;322/;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];127/;56/;67/;57/;39/;49/;71/;61/;37/;44/;57/;55/;64/;39/;38/;46/;56/;39/;55/;57/;61/;57/;51/;53/;71/;64/;60/;62/;95/;63/;81/;77/;75/;71/;81/;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];107/;43/;41/;42/;41/;42/;62/;74/;52/;45/;55/;42/;49/;59/;41/;40/;40/;42/;57/;41/;46/;68/;42/;48/;46/;54/;44/;82/;58/;43/;67/;41/;38/;39/;103/;
setFeatureAbstract[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];115/;38/;39/;148/;51/;53/;38/;37/;38/;37/;38/;39/;37/;38/;38/;43/;35/;38/;41/;38/;129/;46/;145/;42/;41/;76/;41/;47/;42/;51/;45/;54/;45/;41/;75/;
setFeatureMandatory[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];85/;43/;149/;47/;74/;48/;44/;38/;42/;41/;165/;49/;40/;41/;41/;45/;48/;45/;44/;42/;154/;41/;39/;149/;157/;57/;40/;50/;156/;43/;59/;142/;151/;172/;150/;
mutuallyExchangeMandatoryAndOptional[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];77/;74/;223/;249/;41/;61/;44/;52/;55/;67/;271/;48/;50/;46/;223/;52/;58/;49/;72/;65/;254/;71/;56/;204/;261/;57/;267/;36/;233/;231/;211/;234/;258/;214/;256/;
ReplaceFeature[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3];195/;66/;140/;77/;70/;102/;95/;169/;63/;53/;175/;88/;63/;60/;88/;54/;61/;47/;182/;102/;68/;85/;57/;68/;172/;96/;161/;77/;193/;103/;98/;142/;209/;228/;179/;
Generalization_2-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];110/;46/;292/;281/;61/;49/;67/;49/;46/;58/;300/;49/;42/;45/;198/;47/;44/;62/;43/;42/;49/;44/;52/;63/;262/;44/;255/;45/;43/;281/;245/;258/;47/;63/;72/;
ExtractALTGroup[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:5];93/;43/;66/;56/;51/;89/;61/;168/;68/;64/;72/;377/;134/;48/;56/;56/;43/;162/;44/;47/;45/;139/;41/;51/;43/;47/;45/;484/;60/;45/;159/;41/;202/;42/;158/;
Refactoring_1-1[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:6];129/;52/;68/;68/;53/;61/;48/;65/;45/;48/;56/;43/;411/;78/;70/;49/;63/;45/;45/;99/;62/;60/;45/;56/;68/;66/;49/;49/;1592/;130/;81/;63/;90/;78/;82/;
Refactoring_1-3[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];133/;60/;60/;57/;47/;103/;72/;81/;76/;62/;75/;54/;48/;50/;60/;48/;55/;47/;55/;88/;55/;46/;46/;51/;79/;73/;75/;63/;55/;59/;61/;49/;51/;53/;72/;
Refactoring_1-4[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1];184/;53/;293/;169/;49/;129/;48/;132/;56/;53/;311/;84/;59/;72/;203/;50/;100/;51/;406/;2857/;119/;47/;56/;92/;311/;64/;254/;50/;3691620/;1943/;170/;257/;170/;204/;82333/;
Refactoring_1-5[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];145/;84/;207/;191/;50/;63/;54/;73/;59/;54/;181/;88/;54/;77/;214/;49/;63/;50/;85/;2943/;193/;44/;51/;55/;216/;71/;211/;43/;76/;185/;203/;227/;54/;78/;6180/;
Refactoring_1-8[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];128/;90/;100/;74/;76/;83/;86/;66/;48/;75/;97/;64/;54/;84/;72/;104/;62/;50/;56/;313/;77/;80/;53/;62/;58/;57/;54/;57/;72/;88/;93/;85/;64/;64/;561/;
Specialization_3-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];188/;42/;300/;50/;60/;49/;69/;79/;47/;52/;314/;67/;56/;65/;43/;56/;81/;56/;58/;86/;291/;49/;68/;296/;355/;75/;56/;76/;303/;48/;76/;297/;367/;306/;322/;
Specialization_3-6[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2];139/;90/;101/;52/;69/;55/;81/;64/;84/;43/;64/;70/;45/;46/;44/;90/;65/;73/;70/;51/;62/;166/;88/;72/;53/;85/;62/;127/;56/;53/;115/;53/;59/;56/;102/;
Total run times [ms]- normal CPA: 0 essential CPA: 3884517 atomic CPA: 0