RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
Refactoring_1-4[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1];536/109/15;66/51/1;647/137/2;233/126/1;29/25/1;92/47/1;336/74/2;39/34/0;22/22/0;462/116/2;34/24/1;24/21/0;20/19/0;84/76/1;22/21/0;54/32/0;21/21/0;19/19/0;22/19/0;42/22/1;19/19/1;17/20/1;279/113/1;131/58/0;332/153/1;36/29/1;97/36/1;259/90/1;1737/147/2;491/103/1;71/30/1;64/30/1;331/67/1;
Refactoring_1-5[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];151/53/1;33/27/0;447/113/2;218/110/0;28/28/0;112/49/1;134/70/1;45/32/0;31/35/0;637/121/1;42/29/0;28/29/0;27/26/0;85/87/1;26/25/1;63/39/1;28/28/0;26/28/0;27/26/0;78/43/1;29/34/1;31/32/1;320/109/1;84/47/0;338/135/0;33/30/0;96/34/1;243/115/1;488/120/1;483/109/0;79/35/1;67/36/1;182/59/1;
Refactoring_1-8[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];153/53/1;34/29/0;118/44/1;65/37/0;31/30/0;84/52/1;131/60/1;34/36/1;33/33/0;130/45/1;33/30/1;31/40/0;45/40/0;33/29/0;28/28/0;75/38/1;30/31/1;29/37/0;36/33/1;83/41/1;35/35/1;42/34/1;91/50/1;105/44/1;69/34/1;30/31/0;192/98/1;89/38/1;129/49/0;108/40/1;103/38/1;100/47/0;201/66/0;
Specialization_3-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];59/29/0;28/28/0;603/163/0;37/32/0;32/44/0;44/42/0;32/34/0;33/33/0;32/31/0;593/195/1;43/32/0;33/32/0;30/31/0;32/33/0;34/30/1;31/30/0;30/29/0;30/29/0;33/32/0;308/159/0;34/30/0;124/120/0;575/161/0;34/26/0;26/26/0;27/26/0;797/195/0;39/29/1;28/29/0;636/202/0;623/203/1;704/189/0;1117/238/0;
Specialization_3-6[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2];1217/67/0;49/35/0;40/41/0;38/40/0;36/36/0;38/40/1;1490/76/1;60/40/1;31/32/1;32/37/0;35/40/0;32/34/0;31/29/1;28/28/1;30/29/1;31/30/1;29/31/1;29/30/0;30/29/1;27/32/0;28/29/1;33/30/0;35/31/0;355/54/1;41/36/0;4052/195/0;117/49/0;35/41/0;2826/65/1;47/45/0;36/36/0;37/36/0;51723/714/1;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
Total run times [ms]- normal CPA: 83496 essential CPA: 9832 atomic CPA: 98